CD_CVM,DENOM_CIA,EBIT,DESPESA_FINANCEIRA,RECEITA,LUCRO_LIQUIDO,DIVIDA_BRUTA,ATIVO_TOTAL,CAIXA,CAIXA_OPERACIONAL,ANO,DESPESA_FINANCEIRA_ABS,DIVIDA_LIQUIDA,DT_REFER,DT_RECEB
18970,AES TIETE ENERGIA SA,630608000.0,-295271000.0,1728125000.0,298277000.0,3589621000.0,6817913000.0,134593000.0,821183000.0,2017,295271000.0,3455028000.0,2017-12-31,2018-02-27
18970,AES TIETE ENERGIA SA,731108000.0,-435196000.0,1923533000.0,287963000.0,4127928000.0,7602605000.0,152816000.0,691659000.0,2018,435196000.0,3975112000.0,2018-12-31,2019-02-26
18970,AES TIETE ENERGIA SA,723070000.0,-439805000.0,2049723000.0,300119000.0,4254945000.0,7798912000.0,31838000.0,864671000.0,2019,439805000.0,4223107000.0,2019-12-31,2020-02-29
18970,AES TIETE ENERGIA SA,1748149000.0,-590754000.0,2011192000.0,848021000.0,5258882000.0,10034488000.0,504874000.0,992740000.0,2020,590754000.0,4754008000.0,2020-12-31,2021-03-11
18350,AES TIETE SA,1362175000.0,-87595000.0,2336933000.0,881359000.0,1116676000.0,4073265000.0,108420000.0,962990000.0,2013,87595000.0,1008256000.0,2013-12-31,2014-02-25
18350,AES TIETE SA,750371000.0,-121618000.0,3205007000.0,449344000.0,1623019000.0,4250450000.0,533000.0,625193000.0,2014,121618000.0,1622486000.0,2014-12-31,2015-02-25
25658,AGROGALAXY PARTICIPAÇÕES S.A.,63665000.0,0.0,1443693000.0,24454000.0,273957000.0,1414201000.0,118918000.0,55111000.0,2019,0.0,155039000.0,2019-12-31,2020-12-31
25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,96120000.0,0.0,2630908000.0,76211000.0,908268000.0,4260865000.0,301106000.0,102800000.0,2020,0.0,607162000.0,2020-12-31,2021-03-25
25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,324884000.0,0.0,6580618000.0,119397000.0,1390484000.0,6774910000.0,643563000.0,32616000.0,2021,0.0,746921000.0,2021-12-31,2022-03-28
25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,527857000.0,0.0,11592510000.0,28947000.0,2059493000.0,9910493000.0,1077875000.0,-144106000.0,2022,0.0,981618000.0,2022-12-31,2023-03-29
25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,205356000.0,-1293503000.0,9399096000.0,-367292000.0,1640002000.0,7714016000.0,738306000.0,83488000.0,2023,1293503000.0,901696000.0,2023-12-31,2024-03-26
25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,-1974231000.0,-1268243000.0,4612367000.0,-3020012000.0,1542007000.0,3638761000.0,475482000.0,-217816000.0,2024,1268243000.0,1066525000.0,2024-12-31,2025-04-22
25194,ALARES INTERNET PARTICIPAÇÕES S/A,27423000.0,-45840000.0,469747000.0,-27755000.0,676981000.0,1682647000.0,119432000.0,89391000.0,2021,45840000.0,557549000.0,2021-12-31,2022-03-23
25194,ALARES INTERNET PARTICIPAÇÕES S/A,18450000.0,-145451000.0,502274000.0,-127755000.0,722737000.0,1798040000.0,79432000.0,28781000.0,2022,145451000.0,643305000.0,2022-12-31,2023-03-21
25194,ALARES INTERNET PARTICIPAÇÕES S/A,-11708000.0,-148595000.0,567852000.0,-157366000.0,938962000.0,2135917000.0,163634000.0,95239000.0,2023,148595000.0,775328000.0,2023-12-31,2024-03-26
25194,ALARES INTERNET PARTICIPAÇÕES S/A,94456000.0,-226515000.0,753596000.0,-100516000.0,1071516000.0,2344002000.0,240056000.0,138741000.0,2024,226515000.0,831460000.0,2024-12-31,2025-03-18
25194,ALARES INTERNET PARTICIPAÇÕES S/A,131769000.0,-247909000.0,938903000.0,-111780000.0,1304511000.0,2374142000.0,256358000.0,192712000.0,2025,247909000.0,1048153000.0,2025-12-31,2026-03-18
21032,ALGAR TELECOM S/A,289704000.0,-113501000.0,1901995000.0,137808000.0,1070220000.0,2430334000.0,192172000.0,388777000.0,2013,113501000.0,878048000.0,2013-12-31,2014-02-26
21032,ALGAR TELECOM S/A,305525000.0,-160875000.0,2237844000.0,141846000.0,1244160000.0,2840723000.0,128391000.0,494850000.0,2014,160875000.0,1115769000.0,2014-12-31,2015-03-02
21032,ALGAR TELECOM S/A,353599000.0,-205479000.0,2418391000.0,153634000.0,1359485000.0,3179307000.0,190461000.0,601594000.0,2015,205479000.0,1169024000.0,2015-12-31,2016-03-14
21032,ALGAR TELECOM S/A,392416000.0,-218138000.0,2544890000.0,183578000.0,1411850000.0,3399398000.0,171473000.0,624621000.0,2016,218138000.0,1240377000.0,2016-12-31,2017-02-15
21032,ALGAR TELECOM S/A,452972000.0,-194277000.0,2715512000.0,229592000.0,1540058000.0,3694384000.0,212013000.0,684756000.0,2017,194277000.0,1328045000.0,2017-12-31,2018-02-23
21032,ALGAR TELECOM S/A,603272000.0,-211130000.0,2867298000.0,316037000.0,1849456000.0,4259498000.0,225880000.0,706332000.0,2018,211130000.0,1623576000.0,2018-12-31,2019-03-14
21032,ALGAR TELECOM S/A,558184000.0,-257108000.0,2871117000.0,302716000.0,2603817000.0,4778755000.0,424373000.0,827508000.0,2019,257108000.0,2179444000.0,2019-12-31,2020-03-17
21032,ALGAR TELECOM S/A,515867000.0,-279675000.0,2350771000.0,202376000.0,2952832000.0,5296948000.0,612052000.0,864824000.0,2020,279675000.0,2340780000.0,2020-12-31,2021-03-03
21032,ALGAR TELECOM S/A,520006000.0,-374573000.0,2588407000.0,229505000.0,3331818000.0,6221012000.0,280706000.0,991614000.0,2021,374573000.0,3051112000.0,2021-12-31,2022-02-22
21032,ALGAR TELECOM S/A,465917000.0,-698160000.0,2798904000.0,51443000.0,4265293000.0,7297088000.0,720872000.0,1178677000.0,2022,698160000.0,3544421000.0,2022-12-31,2023-02-23
21032,ALGAR TELECOM S/A,225796000.0,-589494000.0,2746728000.0,-149613000.0,4803025000.0,7394310000.0,1191155000.0,1135603000.0,2023,589494000.0,3611870000.0,2023-12-31,2024-11-14
21032,ALGAR TELECOM S/A,132461000.0,-579125000.0,2821787000.0,-331150000.0,4113663000.0,6297007000.0,502049000.0,1185835000.0,2024,579125000.0,3611614000.0,2024-12-31,2025-03-28
21032,ALGAR TELECOM S/A,266674000.0,-593489000.0,2931979000.0,-197044000.0,4165137000.0,6086063000.0,606822000.0,1295945000.0,2025,593489000.0,3558315000.0,2025-12-31,2026-03-12
21300,ALIANSCE SHOPPING CENTERS S.A.,278114000.0,-204275000.0,448421000.0,73947000.0,1341939000.0,3997694000.0,36623000.0,296970000.0,2013,204275000.0,1305316000.0,2013-12-31,2014-04-03
21300,ALIANSCE SHOPPING CENTERS S.A.,418473000.0,-237714000.0,473895000.0,187282000.0,1375092000.0,4114549000.0,23147000.0,358050000.0,2014,237714000.0,1351945000.0,2014-12-31,2015-03-26
21300,ALIANSCE SHOPPING CENTERS S.A.,443178000.0,-298155000.0,494799000.0,144772000.0,0.0,4115208000.0,15425000.0,306164000.0,2015,298155000.0,-15425000.0,2015-12-31,2016-03-28
21300,ALIANSCE SHOPPING CENTERS S.A.,251392000.0,-288184000.0,487551000.0,-9869000.0,0.0,4896895000.0,21226000.0,234013000.0,2016,288184000.0,-21226000.0,2016-12-31,2017-03-27
21300,ALIANSCE SHOPPING CENTERS S.A.,316792000.0,-265612000.0,507691000.0,103459000.0,0.0,4793893000.0,6545000.0,390669000.0,2017,265612000.0,-6545000.0,2017-12-31,2018-03-12
21300,ALIANSCE SHOPPING CENTERS S.A.,322350000.0,-199891000.0,508431000.0,119445000.0,0.0,4744122000.0,21890000.0,374860000.0,2018,199891000.0,-21890000.0,2018-12-31,2019-02-26
12823,ALIPERTI S.A.,-25528000.0,-8944000.0,24144000.0,-12809000.0,44490000.0,503718000.0,273000.0,12600000.0,2021,8944000.0,44217000.0,2021-12-31,2022-03-30
12823,ALIPERTI S.A.,-39992000.0,-14300000.0,41446000.0,-25231000.0,49460000.0,478638000.0,133000.0,-2320000.0,2022,14300000.0,49327000.0,2022-12-31,2023-03-28
12823,ALIPERTI S.A.,19487000.0,-11214000.0,34511000.0,16178000.0,54650000.0,491535000.0,298000.0,27607000.0,2023,11214000.0,54352000.0,2023-12-31,2024-03-28
12823,ALIPERTI S.A.,41026000.0,-12311000.0,38279000.0,51219000.0,59047000.0,507871000.0,290000.0,33006000.0,2024,12311000.0,58757000.0,2024-12-31,2025-03-21
12823,ALIPERTI S.A.,20178000.0,-12970000.0,45296000.0,16938000.0,64754000.0,504516000.0,90000.0,18921000.0,2025,12970000.0,64664000.0,2025-12-31,2026-03-25
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,108738000.0,0.0,699664000.0,-11429000.0,465444000.0,1536352000.0,21920000.0,98556000.0,2015,0.0,443524000.0,2015-12-31,2016-12-04
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,100612000.0,0.0,951470000.0,28767000.0,505647000.0,2166312000.0,159333000.0,78974000.0,2016,0.0,346314000.0,2016-12-31,2017-03-22
24058,ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,70337000.0,0.0,1077876000.0,14640000.0,599252000.0,2284985000.0,91597000.0,134194000.0,2017,0.0,507655000.0,2017-12-31,2018-03-28
